"Series";"Time";"Value"
"Z";"2020-09-26T17:14:00-04:00";12855
"Z";"2020-09-26T17:14:00-04:00";7955
"Z";"2020-09-26T17:14:00-04:00";8838
"Z";"2020-09-26T17:14:00-04:00";18593
"Z";"2020-09-26T17:14:00-04:00";19683
"Z";"2020-09-26T17:14:00-04:00";17381
"Z";"2020-09-26T17:14:00-04:00";19633
"Z";"2020-09-26T17:14:00-04:00";18744
"Z";"2020-09-26T17:14:00-04:00";16834
"Z";"2020-09-26T17:14:00-04:00";20120
"Z";"2020-09-26T17:14:00-04:00";22167
"Z";"2020-09-26T17:14:00-04:00";19003
"Z";"2020-09-26T17:14:00-04:00";16513
"Z";"2020-09-26T17:14:00-04:00";16351
"Z";"2020-09-26T17:14:00-04:00";16017
"Z";"2020-09-26T17:14:00-04:00";16321
"Z";"2020-09-26T17:14:00-04:00";18222
"Z";"2020-09-26T17:14:00-04:00";19460
"Z";"2020-09-26T17:14:00-04:00";19408
"Z";"2020-09-26T17:14:00-04:00";17832
"Z";"2020-09-26T17:14:00-04:00";16498
"Z";"2020-09-26T17:14:00-04:00";16111
"Z";"2020-09-26T17:14:00-04:00";17143
"Z";"2020-09-26T17:14:00-04:00";19694
"Z";"2020-09-26T17:14:00-04:00";19452
"Z";"2020-09-26T17:14:00-04:00";16493
"Z";"2020-09-26T17:14:00-04:00";16758
"Z";"2020-09-26T17:14:00-04:00";16663
"Z";"2020-09-26T17:14:00-04:00";12587
"Z";"2020-09-26T17:14:00-04:00";14010
"Z";"2020-09-26T17:14:00-04:00";19101
"Z";"2020-09-26T17:14:00-04:00";18729
"Z";"2020-09-26T17:14:00-04:00";16339
"Z";"2020-09-26T17:14:00-04:00";16611
"Z";"2020-09-26T17:14:00-04:00";15964
"Z";"2020-09-26T17:14:00-04:00";14221
"Z";"2020-09-26T17:14:00-04:00";14994
"Z";"2020-09-26T17:14:00-04:00";17295
"Z";"2020-09-26T17:14:00-04:00";18737
"Z";"2020-09-26T17:14:00-04:00";18354
"Z";"2020-09-26T17:14:00-04:00";17777
"Z";"2020-09-26T17:14:00-04:00";16184
"Z";"2020-09-26T17:14:00-04:00";14195
"Z";"2020-09-26T17:14:00-04:00";15703
"Z";"2020-09-26T17:14:00-04:00";18489
"Z";"2020-09-26T17:14:00-04:00";18309
"Z";"2020-09-26T17:14:00-04:00";18530
"Z";"2020-09-26T17:14:00-04:00";18612
"Z";"2020-09-26T17:14:00-04:00";15104
"Z";"2020-09-26T17:14:00-04:00";13457
"Z";"2020-09-26T17:14:00-04:00";15530
"Z";"2020-09-26T17:14:00-04:00";17563
"Z";"2020-09-26T17:14:00-04:00";17997
"Z";"2020-09-26T17:14:00-04:00";18797
"Z";"2020-09-26T17:14:00-04:00";17593
"Z";"2020-09-26T17:14:00-04:00";13310
"Z";"2020-09-26T17:14:00-04:00";12034
"Z";"2020-09-26T17:14:00-04:00";14982
"Z";"2020-09-26T17:14:00-04:00";17794
"Z";"2020-09-26T17:14:00-04:00";18072
"Z";"2020-09-26T17:14:00-04:00";18854
"Z";"2020-09-26T17:14:00-04:00";18003
"Z";"2020-09-26T17:14:00-04:00";13916
"Z";"2020-09-26T17:14:00-04:00";13292
"Z";"2020-09-26T17:14:00-04:00";15909
"Z";"2020-09-26T17:14:00-04:00";17577
"Z";"2020-09-26T17:14:00-04:00";18506
"Z";"2020-09-26T17:14:00-04:00";18778
"Z";"2020-09-26T17:14:00-04:00";16525
"Z";"2020-09-26T17:14:00-04:00";13827
"Z";"2020-09-26T17:14:00-04:00";14413
"Z";"2020-09-26T17:14:00-04:00";17972
"Z";"2020-09-26T17:14:00-04:00";17842
"Z";"2020-09-26T17:14:00-04:00";16026
"Z";"2020-09-26T17:14:00-04:00";14175
"Z";"2020-09-26T17:14:00-04:00";7052
"Z";"2020-09-26T17:14:00-04:00";9790
"Z";"2020-09-26T17:14:00-04:00";19260
"Z";"2020-09-26T17:14:00-04:00";23050
"Z";"2020-09-26T17:14:00-04:00";23926
"Z";"2020-09-26T17:14:00-04:00";23397
"Z";"2020-09-26T17:14:00-04:00";20886
