"Series";"Time";"Value"
"Z";"2020-09-26T17:14:00-04:00";17715
"Z";"2020-09-26T17:14:00-04:00";20650
"Z";"2020-09-26T17:14:00-04:00";19074
"Z";"2020-09-26T17:14:00-04:00";15737
"Z";"2020-09-26T17:14:00-04:00";14702
"Z";"2020-09-26T17:14:00-04:00";13984
"Z";"2020-09-26T17:14:00-04:00";14792
"Z";"2020-09-26T17:14:00-04:00";18245
"Z";"2020-09-26T17:14:00-04:00";19126
"Z";"2020-09-26T17:14:00-04:00";18229
"Z";"2020-09-26T17:14:00-04:00";16454
"Z";"2020-09-26T17:14:00-04:00";14683
"Z";"2020-09-26T17:14:00-04:00";15002
"Z";"2020-09-26T17:14:00-04:00";15192
"Z";"2020-09-26T17:14:00-04:00";16640
"Z";"2020-09-26T17:14:00-04:00";18582
"Z";"2020-09-26T17:14:00-04:00";17853
"Z";"2020-09-26T17:14:00-04:00";17176
"Z";"2020-09-26T17:14:00-04:00";16194
"Z";"2020-09-26T17:14:00-04:00";14425
"Z";"2020-09-26T17:14:00-04:00";14482
"Z";"2020-09-26T17:14:00-04:00";17382
"Z";"2020-09-26T17:14:00-04:00";18405
"Z";"2020-09-26T17:14:00-04:00";16305
"Z";"2020-09-26T17:14:00-04:00";17572
"Z";"2020-09-26T17:14:00-04:00";17003
"Z";"2020-09-26T17:14:00-04:00";14154
"Z";"2020-09-26T17:14:00-04:00";14750
"Z";"2020-09-26T17:14:00-04:00";16096
"Z";"2020-09-26T17:14:00-04:00";18359
"Z";"2020-09-26T17:14:00-04:00";18808
"Z";"2020-09-26T17:14:00-04:00";17203
"Z";"2020-09-26T17:14:00-04:00";16257
"Z";"2020-09-26T17:14:00-04:00";14262
"Z";"2020-09-26T17:14:00-04:00";13662
"Z";"2020-09-26T17:14:00-04:00";15986
"Z";"2020-09-26T17:14:00-04:00";18678
"Z";"2020-09-26T17:14:00-04:00";19532
"Z";"2020-09-26T17:14:00-04:00";18203
"Z";"2020-09-26T17:14:00-04:00";14910
"Z";"2020-09-26T17:14:00-04:00";12650
"Z";"2020-09-26T17:14:00-04:00";14782
"Z";"2020-09-26T17:14:00-04:00";17146
"Z";"2020-09-26T17:14:00-04:00";18315
"Z";"2020-09-26T17:14:00-04:00";19379
"Z";"2020-09-26T17:14:00-04:00";18642
"Z";"2020-09-26T17:14:00-04:00";14903
"Z";"2020-09-26T17:14:00-04:00";11694
"Z";"2020-09-26T17:14:00-04:00";13891
"Z";"2020-09-26T17:14:00-04:00";18446
"Z";"2020-09-26T17:14:00-04:00";19851
"Z";"2020-09-26T17:14:00-04:00";19220
"Z";"2020-09-26T17:14:00-04:00";18240
"Z";"2020-09-26T17:14:00-04:00";13480
"Z";"2020-09-26T17:14:00-04:00";10992
"Z";"2020-09-26T17:14:00-04:00";14750
"Z";"2020-09-26T17:14:00-04:00";17996
"Z";"2020-09-26T17:14:00-04:00";19592
"Z";"2020-09-26T17:14:00-04:00";19866
"Z";"2020-09-26T17:14:00-04:00";17171
"Z";"2020-09-26T17:14:00-04:00";14165
"Z";"2020-09-26T17:14:00-04:00";13333
"Z";"2020-09-26T17:14:00-04:00";14573
"Z";"2020-09-26T17:14:00-04:00";17495
"Z";"2020-09-26T17:14:00-04:00";19249
"Z";"2020-09-26T17:14:00-04:00";18943
"Z";"2020-09-26T17:14:00-04:00";16841
"Z";"2020-09-26T17:14:00-04:00";13548
"Z";"2020-09-26T17:14:00-04:00";14547
"Z";"2020-09-26T17:14:00-04:00";17861
"Z";"2020-09-26T17:14:00-04:00";16370
"Z";"2020-09-26T17:14:00-04:00";15701
"Z";"2020-09-26T17:14:00-04:00";17506
"Z";"2020-09-26T17:14:00-04:00";17437
"Z";"2020-09-26T17:14:00-04:00";15958
"Z";"2020-09-26T17:14:00-04:00";15407
"Z";"2020-09-26T17:14:00-04:00";16968
"Z";"2020-09-26T17:14:00-04:00";16663
"Z";"2020-09-26T17:14:00-04:00";15925
"Z";"2020-09-26T17:14:00-04:00";16773
"Z";"2020-09-26T17:14:00-04:00";16980
"Z";"2020-09-26T17:14:00-04:00";17055
"Z";"2020-09-26T17:14:00-04:00";16966
"Z";"2020-09-26T17:14:00-04:00";15925
"Z";"2020-09-26T17:14:00-04:00";14933
"Z";"2020-09-26T17:14:00-04:00";16036
"Z";"2020-09-26T17:14:00-04:00";18380
"Z";"2020-09-26T17:14:00-04:00";16822
"Z";"2020-09-26T17:14:00-04:00";15097
"Z";"2020-09-26T17:14:00-04:00";16758
"Z";"2020-09-26T17:14:00-04:00";16556
"Z";"2020-09-26T17:14:00-04:00";15799
"Z";"2020-09-26T17:14:00-04:00";18130
"Z";"2020-09-26T17:14:00-04:00";18399
"Z";"2020-09-26T17:14:00-04:00";15060
"Z";"2020-09-26T17:14:00-04:00";14774
"Z";"2020-09-26T17:14:00-04:00";15447
"Z";"2020-09-26T17:14:00-04:00";16674
"Z";"2020-09-26T17:14:00-04:00";17741
"Z";"2020-09-26T17:14:00-04:00";17840
"Z";"2020-09-26T17:14:01-04:00";17762
"Z";"2020-09-26T17:14:01-04:00";15837
"Z";"2020-09-26T17:14:01-04:00";14513
"Z";"2020-09-26T17:14:01-04:00";14689
"Z";"2020-09-26T17:14:01-04:00";16335
"Z";"2020-09-26T17:14:01-04:00";17871
"Z";"2020-09-26T17:14:01-04:00";19307
"Z";"2020-09-26T17:14:01-04:00";18102
"Z";"2020-09-26T17:14:01-04:00";14428
"Z";"2020-09-26T17:14:01-04:00";13395
"Z";"2020-09-26T17:14:01-04:00";14617
"Z";"2020-09-26T17:14:01-04:00";16546
"Z";"2020-09-26T17:14:01-04:00";19306
"Z";"2020-09-26T17:14:01-04:00";20493
"Z";"2020-09-26T17:14:01-04:00";17577
"Z";"2020-09-26T17:14:01-04:00";13776
"Z";"2020-09-26T17:14:01-04:00";12950
"Z";"2020-09-26T17:14:01-04:00";14436
"Z";"2020-09-26T17:14:01-04:00";16252
"Z";"2020-09-26T17:14:01-04:00";19030
"Z";"2020-09-26T17:14:01-04:00";20189
"Z";"2020-09-26T17:14:01-04:00";17423
"Z";"2020-09-26T17:14:01-04:00";14149
"Z";"2020-09-26T17:14:01-04:00";13949
"Z";"2020-09-26T17:14:01-04:00";15245
"Z";"2020-09-26T17:14:01-04:00";17023
"Z";"2020-09-26T17:14:01-04:00";19020
"Z";"2020-09-26T17:14:01-04:00";18505
"Z";"2020-09-26T17:14:01-04:00";16325
"Z";"2020-09-26T17:14:01-04:00";14159
"Z";"2020-09-26T17:14:01-04:00";15103
"Z";"2020-09-26T17:14:01-04:00";16573
"Z";"2020-09-26T17:14:01-04:00";16381
"Z";"2020-09-26T17:14:01-04:00";17597
"Z";"2020-09-26T17:14:01-04:00";17731
"Z";"2020-09-26T17:14:01-04:00";15271
"Z";"2020-09-26T17:14:01-04:00";14750
"Z";"2020-09-26T17:14:01-04:00";17483
"Z";"2020-09-26T17:14:01-04:00";17914
"Z";"2020-09-26T17:14:01-04:00";17134
"Z";"2020-09-26T17:14:01-04:00";17270
"Z";"2020-09-26T17:14:01-04:00";15126
"Z";"2020-09-26T17:14:01-04:00";14443
"Z";"2020-09-26T17:14:01-04:00";16261
"Z";"2020-09-26T17:14:01-04:00";16871
"Z";"2020-09-26T17:14:01-04:00";17374
"Z";"2020-09-26T17:14:01-04:00";17994
"Z";"2020-09-26T17:14:01-04:00";17242
"Z";"2020-09-26T17:14:01-04:00";15730
"Z";"2020-09-26T17:14:01-04:00";14222
"Z";"2020-09-26T17:14:01-04:00";15185
"Z";"2020-09-26T17:14:01-04:00";18028
"Z";"2020-09-26T17:14:01-04:00";17450
"Z";"2020-09-26T17:14:01-04:00";16191
"Z";"2020-09-26T17:14:01-04:00";17088
"Z";"2020-09-26T17:14:01-04:00";16184
"Z";"2020-09-26T17:14:01-04:00";15333
"Z";"2020-09-26T17:14:01-04:00";16489
"Z";"2020-09-26T17:14:01-04:00";16256
"Z";"2020-09-26T17:14:01-04:00";16472
"Z";"2020-09-26T17:14:01-04:00";17284
"Z";"2020-09-26T17:14:01-04:00";17416
"Z";"2020-09-26T17:14:01-04:00";16926
"Z";"2020-09-26T17:14:01-04:00";16221
"Z";"2020-09-26T17:14:01-04:00";15118
"Z";"2020-09-26T17:14:01-04:00";15066
"Z";"2020-09-26T17:14:01-04:00";16663
"Z";"2020-09-26T17:14:01-04:00";16871
"Z";"2020-09-26T17:14:01-04:00";18196
"Z";"2020-09-26T17:14:01-04:00";18122
"Z";"2020-09-26T17:14:01-04:00";16164
"Z";"2020-09-26T17:14:01-04:00";15498
"Z";"2020-09-26T17:14:01-04:00";14837
"Z";"2020-09-26T17:14:01-04:00";14142
"Z";"2020-09-26T17:14:01-04:00";16546
"Z";"2020-09-26T17:14:01-04:00";19331
"Z";"2020-09-26T17:14:01-04:00";18047
"Z";"2020-09-26T17:14:01-04:00";16591
"Z";"2020-09-26T17:14:01-04:00";15540
"Z";"2020-09-26T17:14:01-04:00";15540
"Z";"2020-09-26T17:14:01-04:00";16886
"Z";"2020-09-26T17:14:01-04:00";16515
"Z";"2020-09-26T17:14:01-04:00";15485
"Z";"2020-09-26T17:14:01-04:00";16144
"Z";"2020-09-26T17:14:01-04:00";17427
"Z";"2020-09-26T17:14:01-04:00";17048
"Z";"2020-09-26T17:14:01-04:00";15867
"Z";"2020-09-26T17:14:01-04:00";16537
"Z";"2020-09-26T17:14:01-04:00";17076
"Z";"2020-09-26T17:14:01-04:00";15885
"Z";"2020-09-26T17:14:01-04:00";15686
"Z";"2020-09-26T17:14:01-04:00";16728
"Z";"2020-09-26T17:14:01-04:00";17538
"Z";"2020-09-26T17:14:01-04:00";17102
"Z";"2020-09-26T17:14:01-04:00";16666
"Z";"2020-09-26T17:14:01-04:00";17071
"Z";"2020-09-26T17:14:01-04:00";15523
"Z";"2020-09-26T17:14:01-04:00";14052
"Z";"2020-09-26T17:14:01-04:00";15601
"Z";"2020-09-26T17:14:01-04:00";17549
"Z";"2020-09-26T17:14:02-04:00";18297
"Z";"2020-09-26T17:14:02-04:00";17103
"Z";"2020-09-26T17:14:02-04:00";16128
"Z";"2020-09-26T17:14:02-04:00";16006
"Z";"2020-09-26T17:14:02-04:00";15495
"Z";"2020-09-26T17:14:02-04:00";16358
"Z";"2020-09-26T17:14:02-04:00";17224
"Z";"2020-09-26T17:14:02-04:00";17605
"Z";"2020-09-26T17:14:02-04:00";17035
"Z";"2020-09-26T17:14:02-04:00";15479
"Z";"2020-09-26T17:14:02-04:00";13840
"Z";"2020-09-26T17:14:02-04:00";15488
"Z";"2020-09-26T17:14:02-04:00";19159
"Z";"2020-09-26T17:14:02-04:00";18642
"Z";"2020-09-26T17:14:02-04:00";17207
"Z";"2020-09-26T17:14:02-04:00";15547
"Z";"2020-09-26T17:14:02-04:00";14071
"Z";"2020-09-26T17:14:02-04:00";15062
"Z";"2020-09-26T17:14:02-04:00";16406
"Z";"2020-09-26T17:14:02-04:00";17814
"Z";"2020-09-26T17:14:02-04:00";19572
"Z";"2020-09-26T17:14:02-04:00";17474
"Z";"2020-09-26T17:14:02-04:00";14294
"Z";"2020-09-26T17:14:02-04:00";14417
"Z";"2020-09-26T17:14:02-04:00";14386
"Z";"2020-09-26T17:14:02-04:00";16789
"Z";"2020-09-26T17:14:02-04:00";19384
"Z";"2020-09-26T17:14:02-04:00";18335
"Z";"2020-09-26T17:14:02-04:00";17829
"Z";"2020-09-26T17:14:02-04:00";16052
"Z";"2020-09-26T17:14:02-04:00";13231
"Z";"2020-09-26T17:14:02-04:00";13754
"Z";"2020-09-26T17:14:02-04:00";16283
"Z";"2020-09-26T17:14:02-04:00";18406
"Z";"2020-09-26T17:14:02-04:00";18488
"Z";"2020-09-26T17:14:02-04:00";17225
"Z";"2020-09-26T17:14:02-04:00";16649
"Z";"2020-09-26T17:14:02-04:00";15332
"Z";"2020-09-26T17:14:02-04:00";15063
"Z";"2020-09-26T17:14:02-04:00";16982
"Z";"2020-09-26T17:14:02-04:00";16466
"Z";"2020-09-26T17:14:02-04:00";16919
"Z";"2020-09-26T17:14:02-04:00";17252
"Z";"2020-09-26T17:14:02-04:00";15538
"Z";"2020-09-26T17:14:02-04:00";15055
"Z";"2020-09-26T17:14:02-04:00";15464
"Z";"2020-09-26T17:14:02-04:00";16614
"Z";"2020-09-26T17:14:02-04:00";17120
"Z";"2020-09-26T17:14:02-04:00";18352
"Z";"2020-09-26T17:14:02-04:00";18996
"Z";"2020-09-26T17:14:02-04:00";18363
"Z";"2020-09-26T17:14:02-04:00";14093
"Z";"2020-09-26T17:14:02-04:00";11832
"Z";"2020-09-26T17:14:02-04:00";15326
"Z";"2020-09-26T17:14:02-04:00";16849
"Z";"2020-09-26T17:14:02-04:00";18860
"Z";"2020-09-26T17:14:02-04:00";21296
"Z";"2020-09-26T17:14:02-04:00";18337
"Z";"2020-09-26T17:14:02-04:00";13445
"Z";"2020-09-26T17:14:02-04:00";12387
"Z";"2020-09-26T17:14:02-04:00";13336
"Z";"2020-09-26T17:14:02-04:00";17030
"Z";"2020-09-26T17:14:02-04:00";21175
"Z";"2020-09-26T17:14:02-04:00";19677
"Z";"2020-09-26T17:14:02-04:00";15831
"Z";"2020-09-26T17:14:02-04:00";14778
"Z";"2020-09-26T17:14:02-04:00";13068
"Z";"2020-09-26T17:14:02-04:00";13956
"Z";"2020-09-26T17:14:02-04:00";17266
"Z";"2020-09-26T17:14:02-04:00";19827
"Z";"2020-09-26T17:14:02-04:00";21892
"Z";"2020-09-26T17:14:02-04:00";16455
"Z";"2020-09-26T17:14:02-04:00";11800
"Z";"2020-09-26T17:14:02-04:00";13884
"Z";"2020-09-26T17:14:02-04:00";15933
"Z";"2020-09-26T17:14:02-04:00";16458
"Z";"2020-09-26T17:14:02-04:00";18712
"Z";"2020-09-26T17:14:02-04:00";19533
"Z";"2020-09-26T17:14:02-04:00";16231
"Z";"2020-09-26T17:14:02-04:00";14354
"Z";"2020-09-26T17:14:02-04:00";13946
"Z";"2020-09-26T17:14:02-04:00";15645
"Z";"2020-09-26T17:14:02-04:00";18975
"Z";"2020-09-26T17:14:02-04:00";19231
"Z";"2020-09-26T17:14:02-04:00";18120
"Z";"2020-09-26T17:14:02-04:00";15953
