"Series";"Time";"Value"
"Z";"2020-09-26T17:14:00-04:00";7236
"Z";"2020-09-26T17:14:00-04:00";8355
"Z";"2020-09-26T17:14:00-04:00";10047
"Z";"2020-09-26T17:14:00-04:00";9791
"Z";"2020-09-26T17:14:00-04:00";9309
"Z";"2020-09-26T17:14:00-04:00";8467
"Z";"2020-09-26T17:14:00-04:00";7560
"Z";"2020-09-26T17:14:00-04:00";8319
"Z";"2020-09-26T17:14:00-04:00";8657
"Z";"2020-09-26T17:14:00-04:00";8920
"Z";"2020-09-26T17:14:00-04:00";9576
"Z";"2020-09-26T17:14:00-04:00";9710
"Z";"2020-09-26T17:14:00-04:00";8784
"Z";"2020-09-26T17:14:00-04:00";7097
"Z";"2020-09-26T17:14:00-04:00";8220
"Z";"2020-09-26T17:14:00-04:00";9645
"Z";"2020-09-26T17:14:00-04:00";8252
"Z";"2020-09-26T17:14:00-04:00";8415
"Z";"2020-09-26T17:14:00-04:00";9888
"Z";"2020-09-26T17:14:00-04:00";9553
"Z";"2020-09-26T17:14:00-04:00";8004
"Z";"2020-09-26T17:14:00-04:00";7464
"Z";"2020-09-26T17:14:00-04:00";8283
"Z";"2020-09-26T17:14:00-04:00";9255
"Z";"2020-09-26T17:14:00-04:00";9651
"Z";"2020-09-26T17:14:00-04:00";8852
"Z";"2020-09-26T17:14:00-04:00";8337
"Z";"2020-09-26T17:14:00-04:00";8718
"Z";"2020-09-26T17:14:00-04:00";8616
"Z";"2020-09-26T17:14:00-04:00";7992
"Z";"2020-09-26T17:14:00-04:00";8532
"Z";"2020-09-26T17:14:00-04:00";9608
"Z";"2020-09-26T17:14:00-04:00";9557
"Z";"2020-09-26T17:14:00-04:00";8487
"Z";"2020-09-26T17:14:00-04:00";8221
"Z";"2020-09-26T17:14:00-04:00";8929
"Z";"2020-09-26T17:14:00-04:00";7637
"Z";"2020-09-26T17:14:00-04:00";7657
"Z";"2020-09-26T17:14:00-04:00";10279
"Z";"2020-09-26T17:14:00-04:00";10348
"Z";"2020-09-26T17:14:00-04:00";8541
"Z";"2020-09-26T17:14:00-04:00";7508
"Z";"2020-09-26T17:14:00-04:00";7562
"Z";"2020-09-26T17:14:00-04:00";8412
"Z";"2020-09-26T17:14:00-04:00";8853
"Z";"2020-09-26T17:14:00-04:00";9996
"Z";"2020-09-26T17:14:00-04:00";10214
"Z";"2020-09-26T17:14:00-04:00";8241
"Z";"2020-09-26T17:14:00-04:00";7735
"Z";"2020-09-26T17:14:00-04:00";7236
"Z";"2020-09-26T17:14:00-04:00";7722
"Z";"2020-09-26T17:14:00-04:00";9832
"Z";"2020-09-26T17:14:00-04:00";10976
"Z";"2020-09-26T17:14:00-04:00";10010
"Z";"2020-09-26T17:14:00-04:00";7682
"Z";"2020-09-26T17:14:00-04:00";7365
"Z";"2020-09-26T17:14:00-04:00";6989
"Z";"2020-09-26T17:14:00-04:00";7729
"Z";"2020-09-26T17:14:00-04:00";10106
"Z";"2020-09-26T17:14:00-04:00";10539
"Z";"2020-09-26T17:14:00-04:00";9444
"Z";"2020-09-26T17:14:00-04:00";8164
"Z";"2020-09-26T17:14:00-04:00";8104
"Z";"2020-09-26T17:14:00-04:00";7441
"Z";"2020-09-26T17:14:00-04:00";7918
"Z";"2020-09-26T17:14:00-04:00";9708
"Z";"2020-09-26T17:14:00-04:00";9946
"Z";"2020-09-26T17:14:00-04:00";9180
"Z";"2020-09-26T17:14:00-04:00";8132
"Z";"2020-09-26T17:14:00-04:00";8432
"Z";"2020-09-26T17:14:00-04:00";8104
"Z";"2020-09-26T17:14:00-04:00";7708
"Z";"2020-09-26T17:14:00-04:00";9364
"Z";"2020-09-26T17:14:00-04:00";9582
"Z";"2020-09-26T17:14:00-04:00";8598
"Z";"2020-09-26T17:14:00-04:00";8798
"Z";"2020-09-26T17:14:00-04:00";8755
"Z";"2020-09-26T17:14:00-04:00";8260
"Z";"2020-09-26T17:14:00-04:00";7855
"Z";"2020-09-26T17:14:00-04:00";9097
"Z";"2020-09-26T17:14:00-04:00";9264
"Z";"2020-09-26T17:14:00-04:00";8127
"Z";"2020-09-26T17:14:00-04:00";9624
"Z";"2020-09-26T17:14:00-04:00";8308
"Z";"2020-09-26T17:14:00-04:00";8097
"Z";"2020-09-26T17:14:00-04:00";9657
"Z";"2020-09-26T17:14:00-04:00";8240
"Z";"2020-09-26T17:14:00-04:00";8060
"Z";"2020-09-26T17:14:00-04:00";8540
"Z";"2020-09-26T17:14:00-04:00";9556
"Z";"2020-09-26T17:14:00-04:00";8504
"Z";"2020-09-26T17:14:00-04:00";7716
"Z";"2020-09-26T17:14:00-04:00";9213
"Z";"2020-09-26T17:14:00-04:00";9651
"Z";"2020-09-26T17:14:00-04:00";9033
"Z";"2020-09-26T17:14:00-04:00";7807
"Z";"2020-09-26T17:14:00-04:00";8707
"Z";"2020-09-26T17:14:00-04:00";8760
"Z";"2020-09-26T17:14:00-04:00";7378
"Z";"2020-09-26T17:14:00-04:00";9000
"Z";"2020-09-26T17:14:01-04:00";9772
"Z";"2020-09-26T17:14:01-04:00";8896
"Z";"2020-09-26T17:14:01-04:00";8856
"Z";"2020-09-26T17:14:01-04:00";8535
"Z";"2020-09-26T17:14:01-04:00";8553
"Z";"2020-09-26T17:14:01-04:00";8095
"Z";"2020-09-26T17:14:01-04:00";8282
"Z";"2020-09-26T17:14:01-04:00";9141
"Z";"2020-09-26T17:14:01-04:00";8857
"Z";"2020-09-26T17:14:01-04:00";9339
"Z";"2020-09-26T17:14:01-04:00";8887
"Z";"2020-09-26T17:14:01-04:00";7510
"Z";"2020-09-26T17:14:01-04:00";7885
"Z";"2020-09-26T17:14:01-04:00";9477
"Z";"2020-09-26T17:14:01-04:00";9540
"Z";"2020-09-26T17:14:01-04:00";8802
"Z";"2020-09-26T17:14:01-04:00";9408
"Z";"2020-09-26T17:14:01-04:00";8083
"Z";"2020-09-26T17:14:01-04:00";6805
"Z";"2020-09-26T17:14:01-04:00";8356
"Z";"2020-09-26T17:14:01-04:00";9735
"Z";"2020-09-26T17:14:01-04:00";9766
"Z";"2020-09-26T17:14:01-04:00";8889
"Z";"2020-09-26T17:14:01-04:00";8281
"Z";"2020-09-26T17:14:01-04:00";8316
"Z";"2020-09-26T17:14:01-04:00";8050
"Z";"2020-09-26T17:14:01-04:00";8779
"Z";"2020-09-26T17:14:01-04:00";9402
"Z";"2020-09-26T17:14:01-04:00";9214
"Z";"2020-09-26T17:14:01-04:00";8894
"Z";"2020-09-26T17:14:01-04:00";8260
"Z";"2020-09-26T17:14:01-04:00";7918
"Z";"2020-09-26T17:14:01-04:00";8022
"Z";"2020-09-26T17:14:01-04:00";9467
"Z";"2020-09-26T17:14:01-04:00";9698
"Z";"2020-09-26T17:14:01-04:00";8612
"Z";"2020-09-26T17:14:01-04:00";7898
"Z";"2020-09-26T17:14:01-04:00";8091
"Z";"2020-09-26T17:14:01-04:00";8489
"Z";"2020-09-26T17:14:01-04:00";9171
"Z";"2020-09-26T17:14:01-04:00";10324
"Z";"2020-09-26T17:14:01-04:00";9452
"Z";"2020-09-26T17:14:01-04:00";7755
"Z";"2020-09-26T17:14:01-04:00";7025
"Z";"2020-09-26T17:14:01-04:00";8199
"Z";"2020-09-26T17:14:01-04:00";9181
"Z";"2020-09-26T17:14:01-04:00";8992
"Z";"2020-09-26T17:14:01-04:00";9700
"Z";"2020-09-26T17:14:01-04:00";9230
"Z";"2020-09-26T17:14:01-04:00";7975
"Z";"2020-09-26T17:14:01-04:00";8405
